rank,station_id,name,country,country_code,state,lat,lon,elev_m,date,prcp_mm,year_file,mflag,sflag,obs_time
328,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19191007,590.6,1919,,I,
329,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19630620,590.0,1963,,I,
330,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19420609,589.8,1942,,I,
331,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19630608,589.6,1963,,I,
332,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19861130,589.3,1986,,0,
333,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19971226,588.0,1997,,I,
334,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19901107,588.0,1990,,I,
335,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19560622,588.0,1956,,I,
336,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19020621,587.0,1902,,I,
337,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19850521,586.7,1985,,0,
338,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19820731,586.7,1982,,0,
339,ASN00033237,WOODLANDS,Australia,AS,,-23.05,150.7,-999.9,18930131,586.5,1893,,a,
340,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19360529,585.5,1936,,I,
341,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19020621,584.5,1902,,I,
342,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19660608,584.3,1966,,I,
343,IN009063400,KOTTIGEHAR TOLL,India,IN,,13.08,75.5,945.0,19610705,584.2,1961,,I,
344,USC00511935,HONOMANU GULCH 341,United States,US,HI,20.7778,-156.2311,1914.1,19820331,584.2,1982,,0,
345,USC00515665,LUPI UPPER 442,United States,US,HI,20.8889,-156.2481,378.0,19890103,584.2,1989,,0,
346,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19900330,584.2,1990,,0,
347,USC00514091,KEANAE 346,United States,US,HI,20.8294,-156.1681,298.7,20100331,584.2,2010,,0,0600
